transaction_id,order_date,ship_date,customer_id,product_sku,store_id,quantity,unit_price,gross_sales,discount_rate,discount_amount,net_sales,total_cost,shipping_cost,profit,profit_margin_pct,order_status_raw,order_status_clean_reference,payment_method_raw,payment_method_clean_reference,shipping_mode_raw,shipping_mode_clean_reference,promo_name_raw,sales_rep_raw,customer_rating,data_quality_note
TRX-005037,2024-05-03,2024-05-06,CUST-01393,SKU-0139,STR-019,1,1244.7,1244.7,0.0,0.0,1244.7,959.92,35.86,248.92,20.0,Completed,Completed,Debit Card,Debit Card,First Class,First Class,No Promo,Taylor Brooks,1,
TRX-000489,2025-02-10,2025-02-17,CUST-01543,SKU-0020,STR-077,2,1012.89,2025.78,0.0,0.0,2025.78,1657.77,33.91,334.1,16.49,Completed,Completed,paypal,PayPal,First Class,First Class, No Promo ,Morgan Clark,5,
TRX-008389,2024-01-31,2024-02-04,CUST-02355,SKU-0127,STR-032,2,2033.62,4067.24,0.0,0.0,4067.24,2311.68,23.29,1732.27,42.59,Completed,Completed,Debit Card,Debit Card, Standard ,Standard,No Promo,Riley Adams,5,
TRX-009506,2024-02-05,2024-02-10,CUST-00025,SKU-0065,STR-086,3,291.12,873.36,0.0,0.0,873.36,589.98,28.68,254.7,29.16,Completed,Completed,PayPal,PayPal,Standard,Standard,No Promo,Alex Reed,2,
TRX-000996,2024-07-06,2024-07-10,CUST-00465,SKU-0125,STR-029,3,2243.11,6729.34,0.05,336.47,6392.87,4633.26,28.93,1730.68,27.07,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,Summer Sale,Casey Hill,2,
TRX-006964,2025-11-06,2025-11-07,CUST-01068,SKU-0084,STR-041,1,2136.67,2136.67,0.05,106.83,2029.84,1317.85,20.34,691.65,34.07,Completed,Completed,bank transfer,Bank Transfer, Standard ,Standard,Black Friday,Taylor Brooks,3,
TRX-008435,2025-07-11,2025-07-12,CUST-00286,SKU-0191,STR-033,1,194.28,194.28,0.15,29.14,165.14,102.42,19.34,43.38,26.27,Completed,Completed,Cash,Cash,Standard,Standard,Clearance Sale,Taylor Brooks,4,possible_duplicate
TRX-008691,2025-06-24,2025-07-01,CUST-01049,SKU-0015,STR-070,1,585.71,585.71,0.0,0.0,585.71,473.48,26.63,85.6,14.61,Completed,Completed,Debit Card,Debit Card,Second Class,Second Class,No Promo,Riley Adams,5,trim_spaces
TRX-006891,2025-05-15,2025-05-16,CUST-00190,SKU-0173,STR-019,1,1872.61,1872.61,0.0,0.0,1872.61,1460.1,20.27,392.24,20.95,Completed,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Jamie Wilson,5,
TRX-009642,2024-07-24,2024-07-25,CUST-01416,SKU-0059,STR-087,1,201.59,201.59,0.05,10.08,191.51,137.69,23.16,30.66,16.01,Completed,Completed,Pay Later,Buy Now Pay Later,Second Class,Second Class,clearance sale,,4,
TRX-009260,2025-03-09,2025-03-11,CUST-02168,SKU-0185,STR-070,2,265.65,531.31,0.1,53.13,478.18,371.61,25.34,81.23,16.99,Completed,Completed, Debit Card ,Debit Card,Standard,Standard,Flash Sale,Jordan Lewis,4,
TRX-007254,2024-11-07,2024-11-09,CUST-02403,SKU-0098,STR-055,6,422.73,2536.38,0.25,634.1,1902.28,1712.52,28.49,161.27,8.48,Completed,Completed,Debit Card,Debit Card,Standard,Standard,Holiday Deals,Morgan Clark,2,
TRX-012207,2025-09-10,2025-09-11,CUST-00523,SKU-0172,STR-072,4,1225.12,4900.49,0.0,0.0,4900.49,2785.87,41.61,2073.01,42.3,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,First Class,First Class,No Promo,,3,
TRX-003730,2024-11-01,2024-11-04,CUST-00910,SKU-0162,STR-056,2,2210.34,4420.67,0.25,1105.17,3315.5,2685.84,31.54,598.12,18.04,Done,Completed,Credit Card,Credit Card,second class,Second Class,Black Friday,Morgan Clark,4,trim_spaces
